"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Comm/Swap";"Stop Loss price level";"Profit/Loss";"Profit/Loss Pips";"Balance";"Profit Target price level"
"3912";"USATECHIDXUSD_ftmo";"Buy";"2024.09.16 14:23:00";"19443.71";"1.14";"2024.09.18 21:01:00";"19638.15";"214,47";"101389,66";"IST";"PT";"-182,30";"221,66";"2d 6h 38m";"";"-7,19";"19268,72070";"214,47";"194,44";"101389,66";"19638,15039"
"3916";"USATECHIDXUSD_ftmo";"Buy";"2024.09.18 22:00:00";"19454.34";"1.14";"2024.09.19 08:58:00";"19648.88";"218,18";"101607,84";"IST";"PT";"-150,22";"221,78";"10h 58m";"";"-3,60";"19279,25000";"218,18";"194,54";"101607,84";"19648,88086"
"3994";"USATECHIDXUSD_ftmo";"Buy";"2024.09.20 17:52:00";"19713.33";"1.12";"2024.09.20 21:00:00";"19761.70";"54,17";"101662,02";"IST";"End Of Friday (Time)";"-98,86";"99,65";"3h 8m";"";"-0,00";"19535,91016";"54,17";"48,37";"101662,02";"19910,46094"
"4021";"USATECHIDXUSD_ftmo";"Buy";"2024.09.23 10:05:00";"19813.26";"1.12";"2024.09.25 17:00:00";"20011.39";"214,71";"101876,72";"IST";"PT";"-99,92";"221,91";"2d 6h 55m";"";"-7,20";"19634,93945";"214,71";"198,13";"101876,72";"20011,39063"
"4080";"USATECHIDXUSD_ftmo";"Buy";"2024.09.26 17:55:00";"20010.49";"1.11";"2024.09.27 21:00:00";"20061.61";"53,14";"101929,86";"IST";"End Of Friday (Time)";"-53,95";"183,83";"1d 3h 5m";"";"-3,60";"19830,40039";"53,14";"51,12";"101929,86";"20210,58984"
"4081";"USATECHIDXUSD_ftmo";"Buy";"2024.10.01 01:45:00";"20022.67";"1.1";"2024.10.01 16:47:00";"19842.47";"-198,22";"101731,64";"IST";"SL";"-198,22";"105,62";"15h 2m";"";"-0,00";"19842,47070";"-198,22";"-180,20";"101731,64";"20222,90039"
"4082";"USATECHIDXUSD_ftmo";"Buy";"2024.10.02 19:15:00";"19867.38";"1.11";"2024.10.03 10:26:00";"19688.57";"-202,06";"101529,58";"IST";"SL";"-198,48";"9,69";"15h 11m";"";"-3,58";"19688,57031";"-202,06";"-178,81";"101529,58";"20066,05078"
"4083";"USATECHIDXUSD_ftmo";"Buy";"2024.10.03 14:49:00";"19756.70";"1.12";"2024.10.04 15:30:00";"19954.27";"217,69";"101747,27";"IST";"PT";"-89,65";"221,28";"1d 0h 41m";"";"-3,59";"19578,89063";"217,69";"197,57";"101747,27";"19954,26953"
"4125";"USATECHIDXUSD_ftmo";"Buy";"2024.10.07 12:10:00";"19876.78";"1.11";"2024.10.08 17:47:00";"20075.55";"217,06";"101964,33";"IST";"PT";"-180,87";"220,63";"1d 5h 37m";"";"-3,58";"19697,89063";"217,06";"198,77";"101964,33";"20075,55078"
"4231";"USATECHIDXUSD_ftmo";"Buy";"2024.10.10 15:40:00";"20138.64";"1.1";"2024.10.11 21:00:00";"20257.43";"127,08";"102091,40";"IST";"End Of Friday (Time)";"-30,45";"197,53";"1d 5h 20m";"";"-3,59";"19957,39063";"127,08";"118,79";"102091,40";"20340,02930"
"4236";"USATECHIDXUSD_ftmo";"Buy";"2024.10.14 03:14:00";"20240.29";"1.09";"2024.10.14 16:46:00";"20442.69";"220,62";"102312,02";"IST";"PT";"-36,81";"220,62";"13h 32m";"";"-0,00";"20058,13086";"220,62";"202,40";"102312,02";"20442,68945"
"4297";"USATECHIDXUSD_ftmo";"Buy";"2024.10.15 17:29:00";"20357.32";"1.09";"2024.10.15 17:40:00";"20174.10";"-199,71";"102112,30";"IST";"SL";"-199,71";"0,00";"11m 0s";"";"-0,00";"20174,09961";"-199,71";"-183,22";"102112,30";"20560,89063"
"4336";"USATECHIDXUSD_ftmo";"Buy";"2024.10.17 21:23:00";"20203.19";"1.09";"2024.10.18 21:00:00";"20322.98";"127,00";"102239,30";"IST";"End Of Friday (Time)";"-51,37";"177,81";"23h 37m";"";"-3,57";"20021,35938";"127,00";"119,79";"102239,30";"20405,22070"
"4351";"USATECHIDXUSD_ftmo";"Buy";"2024.10.21 08:39:00";"20289.99";"1.09";"2024.10.23 19:29:00";"20107.38";"-206,22";"102033,09";"IST";"SL";"-199,04";"168,18";"2d 10h 50m";"";"-7,18";"20107,38086";"-206,22";"-182,61";"102033,09";"20492,89063"
"4352";"USATECHIDXUSD_ftmo";"Buy";"2024.10.24 14:45:00";"20254.69";"1.09";"2024.10.25 16:46:00";"20457.24";"217,20";"102250,28";"IST";"PT";"-156,29";"220,78";"1d 2h 1m";"";"-3,58";"20072,40039";"217,20";"202,55";"102250,28";"20457,24023"
"4406";"USATECHIDXUSD_ftmo";"Buy";"2024.10.28 18:01:00";"20377.08";"1.09";"2024.10.29 21:18:00";"20580.85";"218,51";"102468,79";"IST";"PT";"-92,72";"222,11";"1d 3h 17m";"";"-3,60";"20193,68945";"218,51";"203,77";"102468,79";"20580,84961"
"4443";"USATECHIDXUSD_ftmo";"Buy";"2024.10.30 15:39:00";"20470.25";"1.08";"2024.10.31 01:54:00";"20286.02";"-202,55";"102266,23";"IST";"SL";"-198,97";"96,60";"10h 15m";"";"-3,59";"20286,01953";"-202,55";"-184,23";"102266,23";"20674,94922"
"4444";"USATECHIDXUSD_ftmo";"Buy";"2024.11.01 16:38:00";"20108.08";"1.1";"2024.11.01 21:00:00";"20044.91";"-69,49";"102196,75";"IST";"End Of Friday (Time)";"-111,95";"62,73";"4h 22m";"";"-0,00";"19927,10938";"-69,49";"-63,17";"102196,75";"20309,16016"
